contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
META251226C00545000,2025-12-22 16:37:23+00:00,545.0,114.23,117.1,121.55,0.0,0.0,6.0,4.0,1.2043496813964842,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,119.32499999999999,1.2043496813964842,,,,
META251226C00550000,2025-12-22 16:37:23+00:00,550.0,109.24,112.2,116.4,0.0,0.0,3.0,146.0,1.138920321044922,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,114.30000000000001,1.138920321044922,,,,
META251226C00555000,2025-12-12 14:49:56+00:00,555.0,93.52,107.1,111.55,0.0,0.0,2.0,45.0,1.1147505200195313,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,109.32499999999999,1.1147505200195313,,,,
META251226C00560000,2025-12-19 20:39:38+00:00,560.0,106.17,102.3,106.55,0.0,0.0,2.0,132.0,1.0700730090332033,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,104.425,1.0700730090332033,,,,
META251226C00565000,2025-12-22 20:53:59+00:00,565.0,97.25,96.9,101.55,0.0,0.0,4.0,17.0,1.0256396374511718,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,99.225,1.0256396374511718,,,,
META251226C00570000,2025-12-22 16:35:18+00:00,570.0,89.07,92.6,96.55,0.0,0.0,1.0,152.0,0.981445498046875,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,94.57499999999999,0.981445498046875,,,,
META251226C00575000,2025-12-23 16:16:04+00:00,575.0,88.44,87.6,91.55,-8.040001,-8.333334,4.0,61.0,0.9370123486328125,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,89.57499999999999,0.9370123486328125,,,,
META251226C00580000,2025-12-18 17:18:01+00:00,580.0,83.22,82.45,84.7,0.0,0.0,2.0,186.0,0.45703667968750006,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,83.575,0.45703667968750006,,,,
META251226C00585000,2025-12-23 15:53:28+00:00,585.0,78.66,77.7,80.95,3.3600006,4.462152,10.0,126.0,0.7775901147460937,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,79.325,0.7775901147460937,,,,
META251226C00590000,2025-12-22 14:56:07+00:00,590.0,81.95,73.6,76.6,0.0,0.0,3.0,137.0,0.59570716796875,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,75.1,0.59570716796875,,,,
META251226C00595000,2025-12-22 15:57:00+00:00,595.0,65.29,68.05,71.6,0.0,0.0,2.0,110.0,0.7653832055664063,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,69.82499999999999,0.7653832055664063,,,,
META251226C00597500,2025-12-19 19:34:41+00:00,597.5,70.68,66.05,69.05,0.0,0.0,1.0,1.0,0.5307664111328125,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,67.55,0.5307664111328125,,,,
META251226C00600000,2025-12-23 17:46:24+00:00,600.0,64.65,62.95,65.3,3.1500015,5.1219535,13.0,543.0,0.5625043750000001,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,64.125,0.5625043750000001,,,,
META251226C00605000,2025-12-23 17:01:51+00:00,605.0,59.97,58.5,60.35,2.8700027,5.0262747,2.0,146.0,0.5329636547851562,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,59.425,0.5329636547851562,,,,
META251226C00610000,2025-12-23 16:51:57+00:00,610.0,54.64,52.65,56.6,2.2399979,4.274805,11.0,495.0,0.6313513427734375,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,54.625,0.6313513427734375,,,,
META251226C00612500,2025-12-19 20:55:00+00:00,612.5,53.05,50.1,54.1,0.0,0.0,7.0,3.0,0.6087685607910158,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,52.1,0.6087685607910158,,,,
META251226C00615000,2025-12-23 17:03:14+00:00,615.0,50.11,47.65,51.6,4.040001,8.769266,7.0,157.0,0.5861857788085938,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,49.625,0.5861857788085938,,,,
META251226C00617500,2025-12-22 17:15:59+00:00,617.5,41.41,45.15,49.1,0.0,0.0,4.0,1.0,0.5634809277343751,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,47.125,0.5634809277343751,,,,
META251226C00620000,2025-12-23 17:11:48+00:00,620.0,45.9,44.05,44.45,3.710003,8.79356,98.0,480.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,44.25,1.0000000000000003e-05,,,,
META251226C00622500,2025-12-22 17:51:13+00:00,622.5,38.0,40.15,41.95,0.0,0.0,14.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,41.05,1.0000000000000003e-05,,,,
META251226C00625000,2025-12-23 17:12:20+00:00,625.0,39.1,39.05,39.45,4.3199997,12.420931,19.0,398.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,39.25,1.0000000000000003e-05,,,,
META251226C00627500,2025-12-23 16:11:54+00:00,627.5,36.58,35.3,36.95,2.7800026,8.224859,8.0,7.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,36.125,1.0000000000000003e-05,,,,
META251226C00630000,2025-12-23 17:12:47+00:00,630.0,35.87,34.0,34.35,3.5999985,11.155868,68.0,777.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,34.175,1.0000000000000003e-05,,,,
META251226C00632500,2025-12-23 15:43:04+00:00,632.5,30.72,30.15,33.4,1.5699997,5.385934,5.0,18.0,0.37244279907226563,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,31.775,0.37244279907226563,,,,
META251226C00635000,2025-12-23 17:12:52+00:00,635.0,31.1,29.15,29.5,3.7700005,13.794368,34.0,630.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,29.325,1.0000000000000003e-05,,,,
META251226C00637500,2025-12-23 17:14:34+00:00,637.5,28.1,26.6,27.05,2.6000004,10.196079,3.0,113.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,26.825000000000003,1.0000000000000003e-05,,,,
META251226C00640000,2025-12-23 17:33:51+00:00,640.0,24.7,24.2,24.6,2.1500015,9.534375,119.0,2060.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,24.4,1.0000000000000003e-05,,,,
META251226C00642500,2025-12-23 17:31:27+00:00,642.5,22.63,21.65,21.95,2.3799992,11.753082,25.0,205.0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,21.799999999999997,1.0000000000000003e-05,,,,
META251226C00645000,2025-12-23 17:53:10+00:00,645.0,19.55,19.4,19.7,1.4499989,8.011043,115.0,1401.0,0.117196328125,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,19.549999999999997,0.117196328125,,,,
META251226C00647500,2025-12-23 17:14:43+00:00,647.5,18.11,16.8,17.2,2.1100006,13.187504,121.0,599.0,0.10352458984374999,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,17.0,0.10352458984374999,,,,
META251226C00650000,2025-12-23 18:01:52+00:00,650.0,14.88,14.6,14.8,1.2399998,9.090907,646.0,2605.0,0.11914943359374999,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,14.7,0.11914943359374999,,,,
META251226C00652500,2025-12-23 18:05:11+00:00,652.5,12.47,12.5,12.8,0.52000046,4.3514686,115.0,342.0,0.15088739746093754,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,12.65,0.15088739746093754,,,,
META251226C00655000,2025-12-23 18:04:37+00:00,655.0,10.3,10.35,10.6,0.3000002,3.000002,564.0,1760.0,0.14673704833984375,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,10.475,0.14673704833984375,,,,
META251226C00657500,2025-12-23 17:49:21+00:00,657.5,9.05,8.5,8.7,0.5,5.8479533,441.0,671.0,0.15070429382324224,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,8.6,0.15070429382324224,,,,
