contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
SPY251224C00640000,2025-12-23 16:05:04+00:00,640.0,46.99,45.75,48.29,2.0300026,4.5151305,8.0,2002,0.6071816625976563,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,47.019999999999996,0.6071816625976563,,,,
SPY251224C00644000,2025-12-19 16:21:45+00:00,644.0,36.27,41.75,44.4,0.0,0.0,8.0,4,0.5832561206054687,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,43.075,0.5832561206054687,,,,
SPY251224C00645000,2025-12-23 16:11:29+00:00,645.0,41.42,40.75,43.32,2.0199966,5.126895,22.0,14,0.5593305786132813,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,42.035,0.5593305786132813,,,,
SPY251224C00650000,2025-12-23 15:36:43+00:00,650.0,35.97,35.75,38.31,8.35,30.231718,28.0,41,0.5039112109375,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,37.03,0.5039112109375,,,,
SPY251224C00651000,2025-12-16 20:39:38+00:00,651.0,29.36,34.74,37.54,0.0,0.0,4.0,0,0.5266160620117188,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,36.14,0.5266160620117188,,,,
SPY251224C00652000,2025-12-23 16:19:54+00:00,652.0,35.18,33.75,36.31,7.5,27.095375,1.0,18,0.48242705078125003,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,35.03,0.48242705078125003,,,,
SPY251224C00653000,2025-12-18 18:24:43+00:00,653.0,25.7,32.74,35.31,0.0,0.0,4.0,0,0.471684970703125,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,34.025000000000006,0.471684970703125,,,,
SPY251224C00654000,2025-12-18 14:53:03+00:00,654.0,23.29,31.75,34.31,0.0,0.0,2.0,4,0.4606987524414063,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,33.03,0.4606987524414063,,,,
SPY251224C00655000,2025-12-18 19:35:39+00:00,655.0,21.53,30.73,33.31,0.0,0.0,12.0,0,0.4497125341796875,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,32.02,0.4497125341796875,,,,
SPY251224C00656000,2025-12-22 18:14:17+00:00,656.0,29.06,29.76,32.31,0.0,0.0,2.0,2,0.43897045410156255,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,31.035000000000004,0.43897045410156255,,,,
SPY251224C00657000,2025-12-18 20:12:03+00:00,657.0,19.91,28.72,31.29,0.0,0.0,,0,0.4250545776367188,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,30.005,0.4250545776367188,,,,
SPY251224C00658000,2025-12-17 18:20:03+00:00,658.0,15.94,27.72,30.42,0.0,0.0,,0,0.43164630859375,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,29.07,0.43164630859375,,,,
SPY251224C00659000,2025-12-17 15:45:28+00:00,659.0,17.09,26.77,29.43,0.0,0.0,60.0,0,0.42163664306640625,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,28.1,0.42163664306640625,,,,
SPY251224C00660000,2025-12-19 20:19:16+00:00,660.0,20.95,25.76,28.55,0.0,0.0,3.0,23,0.424810439453125,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,27.155,0.424810439453125,,,,
SPY251224C00661000,2025-12-18 16:02:45+00:00,661.0,19.05,24.75,27.55,0.0,0.0,,0,0.41309180664062495,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,26.15,0.41309180664062495,,,,
SPY251224C00662000,2025-12-22 20:33:28+00:00,662.0,23.19,23.77,26.56,0.0,0.0,1.0,1,0.40259386474609377,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,25.165,0.40259386474609377,,,,
SPY251224C00663000,2025-12-22 14:57:20+00:00,663.0,21.25,22.76,25.29,0.0,0.0,1.0,3,0.35864899169921877,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,24.025,0.35864899169921877,,,,
SPY251224C00664000,2025-12-23 16:00:51+00:00,664.0,22.5,21.73,23.61,1.4599991,6.939159,8.0,4,0.18946123046875002,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,22.67,0.18946123046875002,,,,
SPY251224C00665000,2025-12-23 14:34:10+00:00,665.0,20.3,21.73,22.2,0.15999985,0.7944382,2.0,151,1.0000000000000003e-05,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,21.965,1.0000000000000003e-05,,,,
SPY251224C00666000,2025-12-22 15:49:07+00:00,666.0,19.02,19.76,22.56,0.87000084,4.793393,1.0,58,0.3549869189453124,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,21.16,0.3549869189453124,,,,
